e,ep,th,w2,q2,eps,cs,cserr,sigm,rat,erat,set,eb,theta,nu
0.0809,0.0589,135.0,0.9054,0.0163,0.0769,1.677,0.1071,12.63,0.1328,0.008483,18.0,0.0809,135.0,0.022
0.0809,0.0579,135.0,0.9075,0.016,0.0767,1.603,0.1246,12.77,0.1255,0.009759,18.0,0.0809,135.0,0.023
0.0809,0.0569,135.0,0.9097,0.0157,0.0764,1.197,0.1035,12.65,0.09456,0.00818,18.0,0.0809,135.0,0.024
0.0809,0.0562,135.0,0.9112,0.0155,0.0762,1.353,0.1149,12.38,0.1093,0.009284,18.0,0.0809,135.0,0.0247
0.0809,0.0551,135.0,0.9136,0.0152,0.0759,1.413,0.123,11.57,0.1221,0.01063,18.0,0.0809,135.0,0.025799999999999997
0.0809,0.0539,135.0,0.9161,0.0149,0.0756,1.25,0.1162,10.17,0.123,0.01143,18.0,0.0809,135.0,0.026999999999999996
0.0809,0.053,135.0,0.9181,0.0146,0.0753,1.168,0.123,8.9,0.1313,0.01382,18.0,0.0809,135.0,0.0279
0.0809,0.0524,135.0,0.9194,0.0145,0.0751,0.9825,0.08918,8.022,0.1225,0.01112,18.0,0.0809,135.0,0.028499999999999998
0.0809,0.0518,135.0,0.9207,0.0143,0.0749,1.067,0.085,7.16,0.149,0.01187,18.0,0.0809,135.0,0.0291
0.0809,0.0512,135.0,0.9219,0.0141,0.0747,1.097,0.09505,6.346,0.173,0.01498,18.0,0.0809,135.0,0.029699999999999997
0.0809,0.0507,135.0,0.923,0.014,0.0745,1.011,0.09182,5.721,0.1767,0.01605,18.0,0.0809,135.0,0.030199999999999998
0.0809,0.0502,135.0,0.9241,0.0139,0.0744,1.087,0.08485,5.156,0.2108,0.01646,18.0,0.0809,135.0,0.030699999999999998
0.0809,0.0493,135.0,0.926,0.0136,0.074,0.8321,0.085,4.299,0.1936,0.01977,18.0,0.0809,135.0,0.0316
0.0809,0.0482,135.0,0.9284,0.0133,0.0736,0.85,0.08278,3.521,0.2414,0.02351,18.0,0.0809,135.0,0.0327
0.0809,0.0473,135.0,0.9303,0.0131,0.0732,0.7821,0.08697,3.066,0.2551,0.02837,18.0,0.0809,135.0,0.0336
0.0809,0.0461,135.0,0.9329,0.0127,0.0726,0.7579,0.08437,2.635,0.2876,0.03201,18.0,0.0809,135.0,0.0348
0.0809,0.045,135.0,0.9353,0.0124,0.0721,0.8733,0.09014,2.345,0.3723,0.03843,18.0,0.0809,135.0,0.0359
0.0809,0.0432,135.0,0.9392,0.0119,0.0712,0.6683,0.07844,1.959,0.3411,0.04003,18.0,0.0809,135.0,0.0377
0.0809,0.0413,135.0,0.9433,0.0114,0.0701,0.8717,0.09532,1.585,0.5499,0.06013,18.0,0.0809,135.0,0.039599999999999996
0.0809,0.041,135.0,0.9439,0.0113,0.07,0.6021,0.09057,1.528,0.3941,0.05928,18.0,0.0809,135.0,0.0399
0.0809,0.0351,135.0,0.9566,0.0097,0.0659,0.5296,0.09344,0.5981,0.8855,0.1562,18.0,0.0809,135.0,0.0458
0.0809,0.0301,135.0,0.9674,0.0083,0.0614,0.2737,0.1573,0.1859,1.473,0.8462,18.0,0.0809,135.0,0.0508
0.0888,0.0736,135.0,0.8866,0.0223,0.0783,0.2633,0.01535,6.195,0.04251,0.002479,16.0,0.0888,135.0,0.015200000000000005
0.0888,0.0735,135.0,0.8868,0.0223,0.0783,0.2678,0.01562,6.328,0.04232,0.002468,16.0,0.0888,135.0,0.015300000000000008
0.0888,0.0733,135.0,0.8872,0.0222,0.0782,0.3521,0.02053,6.6,0.05335,0.003111,16.0,0.0888,135.0,0.0155
