Z,A,E0,ThetaDeg,Ex,cross,error,dataSet,Q2,Q2CC,Q3CC,nu,RT,RTerr,Q2bin,Q2center,qvbin,qvcenter,RL_fortran_data,RT_fortran_data,RL_fortran_center,RT_fortran_center,bin_centering_correction,RT_bc,RTerr_bc
6,12,0.1506,180,0.0247,2052.0,101.0,17,0.07346174170186077,0.07687978238762284,0.2783700278184109,0.02865155759983273,0.009475068107553693,0.00046636543804236,0.070~0.100,0.093,0.270~0.340,0.3,0.023031517,0.011012832,0.016964948,0.0097598393,0.8862242972561463,0.008397035575070896,0.0004133043825936453
6,12,0.1506,180,0.0253,2052.0,101.0,17,0.07310030170186077,0.07651090238762284,0.27776067466008,0.02925155759983273,0.009480360576354555,0.0004666259348010771,0.070~0.100,0.093,0.270~0.340,0.3,0.02306685,0.01138799,0.017276074,0.010321665,0.9063640730278126,0.008592658225757015,0.0004229329828467148
6,12,0.1506,180,0.026,2103.0,101.0,17,0.07267862170186078,0.07608054238762285,0.2770497110404969,0.02995155759983273,0.009722608479630896,0.0004669441067250217,0.070~0.100,0.093,0.270~0.340,0.3,0.02300035,0.011800259,0.017321553,0.010738662,0.9100361271731408,0.00884792496682404,0.0004249360064903604
6,12,0.1506,180,0.0266,2064.0,88.5,17,0.07231718170186077,0.07571166238762285,0.2764402691136421,0.03055155759983273,0.009548130218964206,0.0004094038393305874,0.070~0.100,0.093,0.270~0.340,0.3,0.022931148,0.012145448,0.017322168,0.011084751,0.9126671161080266,0.008714264471165963,0.0003736494213654011
6,12,0.1506,180,0.0273,2002.0,101.0,17,0.07189550170186076,0.07528130238762284,0.2757292011877285,0.03125155759983274,0.009268201964259926,0.0004675766225725537,0.070~0.100,0.093,0.270~0.340,0.3,0.022915878,0.012551694,0.017335584,0.011485429,0.9150501119609831,0.008480869245073049,0.0004278560408353536
6,12,0.1506,180,0.0277,2192.0,88.5,17,0.07165454170186077,0.07503538238762285,0.2753228511904213,0.03165155759983274,0.01015226642202195,0.000409888493772328,0.070~0.100,0.093,0.270~0.340,0.3,0.022961327,0.01278888,0.017367969,0.011716014,0.9161094638467168,0.009300587348707555,0.0003755027282667057
6,12,0.1506,180,0.0299,2368.0,113.5,17,0.07032926170186078,0.07368282238762285,0.2730875910539013,0.03385155759983273,0.01099620399029526,0.0005270562301091687,0.070~0.100,0.093,0.270~0.340,0.3,0.024048083,0.014164519,0.018072364,0.013030971,0.9199727149224057,0.01011620763879252,0.0004848773509303002
6,12,0.1506,180,0.0317,2572.0,113.5,17,0.06924494170186077,0.07257618238762284,0.2712583130295232,0.03565155759983273,0.01197231244378477,0.0005283271626631303,0.070~0.100,0.093,0.270~0.340,0.3,0.025598131,0.015303035,0.019198555,0.014131641,0.9234534848806136,0.01105587364829258,0.0004878855595183545
6,12,0.1506,180,0.0338,2812.0,126.5,17,0.06797990170186077,0.07128510238762285,0.2691236563136412,0.03775155759983273,0.01313043037816446,0.0005906825899138706,0.070~0.100,0.093,0.223~0.270,0.24,0.027316001,0.016531369,0.032988506,0.016751766,1.013332047696715,0.01330548590224455,0.0005985575983762217
6,12,0.1506,180,0.0358,3078.0,113.5,17,0.06677510170186078,0.07005550238762284,0.2670901390684853,0.03975155759983273,0.01442005561563256,0.0005317336947284913,0.070~0.100,0.093,0.223~0.270,0.24,0.028476335,0.01755998,0.033146863,0.017568391,1.000478986878117,0.01442696263305417,0.000531988388190919
6,12,0.1506,180,0.0379,3469.0,101.0,17,0.06551006170186077,0.06876442238762284,0.2649543968074937,0.04185155759983274,0.01631421635916879,0.000474988714983006,0.045~0.070,0.056,0.223~0.270,0.24,0.02920785,0.018483289,0.032882292,0.018263016,0.988082586383841,0.01611979309499307,0.0004693280780035457
6,12,0.1506,180,0.0399,3735.0,164.0,17,0.06430526170186078,0.06753482238762286,0.2629198212148009,0.04385155759983273,0.0176357489694713,0.0007743675584988736,0.045~0.070,0.056,0.223~0.270,0.24,0.029590178,0.019211822,0.032455634,0.018777652,0.9774008940953127,0.01723719681080174,0.0007568675440352034
6,12,0.1506,180,0.0418,3862.0,164.5,17,0.06316070170186078,0.06636670238762285,0.2609864793195671,0.04575155759983273,0.0183112775284772,0.0007799599050840236,0.045~0.070,0.056,0.223~0.270,0.24,0.02977955,0.019764855,0.032015924,0.019140564,0.9684140865187221,0.01773289910073105,0.0007553241590031738
6,12,0.1506,180,0.0437,4039.0,164.0,17,0.06201614170186077,0.06519858238762284,0.2590526440467706,0.04765155759983274,0.0192369011480229,0.0007810972488922397,0.045~0.070,0.056,0.223~0.270,0.24,0.029847835,0.020177916,0.031571426,0.019386034,0.960755015532823,0.01848194926127212,0.0007504430994921092
6,12,0.1506,180,0.046,4191.0,164.0,17,0.06063062170186077,0.06378454238762285,0.2567110094787967,0.04995155759983273,0.02007977053232581,0.0007857509824150402,0.045~0.070,0.056,0.223~0.270,0.24,0.029779161,0.020483823,0.030999702,0.019532984,0.9535809794880574,0.01914768725211068,0.0007492771914450374
6,12,0.1506,180,0.048,4154.0,151.5,17,0.05942582170186077,0.06255494238762285,0.2546741886953267,0.05195155759983273,0.02001477701766951,0.0007299563596959393,0.045~0.070,0.056,0.223~0.270,0.24,0.029580702,0.020572749,0.030442075,0.019533936,0.9495053869563079,0.01900413859700651,0.0006930974957743108
6,12,0.1506,180,0.0496,4166.0,164.5,17,0.05846198170186077,0.06157126238762285,0.2530443091389784,0.05355155759983273,0.02016966190470915,0.0007964256801067345,0.045~0.070,0.056,0.223~0.270,0.24,0.029332893,0.020524853,0.029949774,0.019454939,0.9478722697794718,0.01911826321030121,0.00075490981711343
6,12,0.1506,180,0.0517,4066.0,189.0,17,0.05719694170186077,0.06028018238762285,0.2509045085039782,0.05565155759983274,0.01981962371113998,0.0009212761636511205,0.045~0.070,0.056,0.223~0.270,0.24,0.028904149,0.020304665,0.029253467,0.019251639,0.9481387159059261,0.01879175257521891,0.0008734975987989113
6,12,0.1506,180,0.054,3826.0,151.5,17,0.05581142170186078,0.05886614238762285,0.2485601383722315,0.05795155759983273,0.01880074635584969,0.0007444623818377492,0.045~0.070,0.056,0.223~0.270,0.24,0.028327135,0.019869358,0.028453574,0.018912417,0.9518383533076409,0.0178952714523066,0.0007086078476279274
6,12,0.1506,180,0.0558,3776.0,151.5,17,0.05472710170186077,0.05775950238762285,0.2467248313154208,0.05975155759983274,0.01868153500774831,0.0007495372229009186,0.045~0.070,0.056,0.223~0.270,0.24,0.027812578,0.019397827,0.027818724,0.018571592,0.9574057960203481,0.01788580989497527,0.0007176112815383351
6,12,0.1506,180,0.0579,3726.0,151.5,17,0.05346206170186077,0.05646842238762284,0.2445829764877818,0.06185155759983273,0.0185913637944672,0.0007559290431727809,0.045~0.070,0.056,0.223~0.270,0.24,0.027149146,0.018718031,0.027078638,0.018101434,0.9670586612448713,0.01797893938179382,0.000731027728486786
