e,ep,th,w2,q2,eps,cs,cserr,sigm,rat,erat,set,eb,theta,nu
0.48,0.4575,36.0,0.8387,0.0839,0.8248,5.171,0.2507,37.47,0.138,0.006692,1.0,0.48,36.0,0.022499999999999964
0.48,0.4525,36.0,0.849,0.083,0.8244,5.024,0.2467,26.21,0.1916,0.009411,1.0,0.48,36.0,0.02749999999999997
0.48,0.4475,36.0,0.8593,0.082,0.8238,6.197,0.2965,20.21,0.3067,0.01467,1.0,0.48,36.0,0.03249999999999997
0.48,0.4425,36.0,0.8696,0.0811,0.8232,6.367,0.3055,18.96,0.3359,0.01611,1.0,0.48,36.0,0.03749999999999998
0.48,0.4375,36.0,0.8799,0.0802,0.8224,6.83,0.3106,18.53,0.3687,0.01676,1.0,0.48,36.0,0.04249999999999998
0.48,0.4325,36.0,0.8902,0.0793,0.8216,7.189,0.327,16.33,0.4403,0.02003,1.0,0.48,36.0,0.04749999999999999
0.48,0.4275,36.0,0.9005,0.0784,0.8206,7.521,0.3435,13.28,0.5663,0.02587,1.0,0.48,36.0,0.05249999999999999
0.48,0.4225,36.0,0.9108,0.0775,0.8196,7.498,0.3462,10.23,0.7329,0.03384,1.0,0.48,36.0,0.057499999999999996
0.48,0.4175,36.0,0.9211,0.0765,0.8184,7.305,0.3406,8.05,0.9075,0.04231,1.0,0.48,36.0,0.0625
0.48,0.4125,36.0,0.9314,0.0756,0.8171,7.164,0.3366,6.892,1.04,0.04884,1.0,0.48,36.0,0.0675
0.48,0.4075,36.0,0.9417,0.0747,0.8157,6.63,0.3162,6.302,1.052,0.05018,1.0,0.48,36.0,0.07250000000000001
0.48,0.4025,36.0,0.952,0.0738,0.8141,6.157,0.2976,5.868,1.049,0.05073,1.0,0.48,36.0,0.07749999999999996
0.48,0.3975,36.0,0.9623,0.0729,0.8124,5.65,0.2779,5.428,1.041,0.05119,1.0,0.48,36.0,0.08249999999999996
0.48,0.3925,36.0,0.9726,0.072,0.8106,5.151,0.2576,4.963,1.038,0.0519,1.0,0.48,36.0,0.08749999999999997
0.48,0.3875,36.0,0.9829,0.071,0.8087,4.596,0.2344,4.49,1.024,0.0522,1.0,0.48,36.0,0.09249999999999997
0.48,0.3825,36.0,0.9932,0.0701,0.8066,4.016,0.2108,4.029,0.9967,0.05232,1.0,0.48,36.0,0.09749999999999998
0.48,0.3775,36.0,1.0035,0.0692,0.8044,3.536,0.1904,3.593,0.9842,0.05299,1.0,0.48,36.0,0.10249999999999998
